"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.RNA transport","Ntwrk.RNA transport","NtwrkCount.Ribosome","Ntwrk.Ribosome","NtwrkCount.Nucleotide excision repair","Ntwrk.Nucleotide excision repair","Total_Path_Hits.net.count"
"1",48,"ACO1",368,"MedConf","Novel","Carbon metabolism, Biosynthesis of amino acids, Citrate cycle (TCA cycle)",1,"IDH2",0,NA,0,NA,0,NA,0
"2",50,"ACO2",259,"MedConf","Novel","Carbon metabolism, Biosynthesis of amino acids, Citrate cycle (TCA cycle)",1,"IDH2",0,NA,0,NA,0,NA,0
"3",81,"ACTN4",112,"MedConf","Novel",NA,8,"UBE2I, ALDOA, RAC1, CSK, PIP5K1B, HRG, PSMA6, PIK3CA",1,"UBE2I",0,NA,0,NA,1
"4",79814,"AGMAT",314,"MedConf","Novel",NA,1,"SF3B5",0,NA,0,NA,0,NA,0
"5",5832,"ALDH18A1",227,"HighConf","Novel","Biosynthesis of amino acids",3,"TIMM13, CAD, CKS1B",0,NA,0,NA,0,NA,0
"6",226,"ALDOA",204,"MedConf","Novel","Carbon metabolism, Biosynthesis of amino acids, Glycolysis / Gluconeogenesis, Pentose phosphate pathway",8,"PGAM1, PFKP, GPI, ENO3, HRG, TKTL2, GAPDH, ACTN4",0,NA,0,NA,0,NA,0
"7",29882,"ANAPC2",210,"MedConf","Novel","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation",18,"AURKB, ANAPC5, PSMD7, PSMD10, CDC20, PSMD12, PSMB4, MAD2L1, PSMA6, PLK1, BUB3, PSMA4, PSMC1, CDC23, CDC16, PSMB7, PTTG1, PSMD14",0,NA,0,NA,0,NA,0
"8",51433,"ANAPC5",349,"MedConf","Novel","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation",18,"PLK1, PSMC1, PSMD12, BUB3, CDC20, AURKB, CDC16, ANAPC2, PSMA6, PSMD7, PSMA4, PSMD10, MAD2L1, PSMB4, PSMD14, CDC23, PTTG1, PSMB7",0,NA,0,NA,0,NA,0
"9",27301,"APEX2",19,"MedConf","Novel","Base excision repair",3,"PCNA, DUT, PNKP",0,NA,0,NA,1,"PCNA",1
"10",476,"ATP1A1",264,"MedConf","Novel",NA,2,"ATP1B3, PRKACA",0,NA,0,NA,0,NA,0
"11",483,"ATP1B3",369,"MedConf","Novel",NA,2,"ATP1A1, PRKACA",0,NA,0,NA,0,NA,0
"12",9212,"AURKB",222,"MedConf","Novel",NA,35,"ITGB3BP, SPC24, KIF23, RANGAP1, CDCA8, CENPI, ANAPC5, SPDL1, PSMA4, PSMD7, PSMC1, MAD2L1, CDC16, NPM1, PTTG1, NCL, PSMD10, NUP85, PSMA6, SMC2, INCENP, PSMB7, CDC23, XPO1, NDC80, RPS27, SMC3, PLK1, PSMD12, CDC20, ANAPC2, BIRC5, BUB3, PSMD14, PSMB4",3,"XPO1, RANGAP1, NUP85",1,"RPS27",0,NA,4
"13",9531,"BAG3",305,"MedConf","Novel",NA,1,"HSPA8",0,NA,0,NA,0,NA,0
"14",8314,"BAP1",8,"HighConf","Novel",NA,7,"PSMD7, PSMB4, PSMA4, PSMD10, IPO5, PSMA6, PSMC1",0,NA,0,NA,0,NA,0
"15",100529063,"BCL2L2-PABPN1",371,"HighConf","Novel","mRNA surveillance pathway",1,"EXOSC10",0,NA,0,NA,0,NA,0
"16",332,"BIRC5",194,"MedConf","Novel",NA,22,"XPO1, NUP85, TUBG1, NUMA1, TUBGCP3, AURKB, ITGB3BP, SPC24, KIF23, RANGAP1, CDCA8, CENPI, PARP4, SPDL1, NDC80, INCENP, BUB3, CDC20, MAD2L1, SMC3, PLK1, RPS27",3,"XPO1, RANGAP1, NUP85",1,"RPS27",0,NA,4
"17",55299,"BRIX1",186,"MedConf","Novel",NA,4,"NIP7, PES1, RPL3, CEBPZ",0,NA,1,"RPL3",0,NA,1
"18",9184,"BUB3",193,"MedConf","Novel","Cell cycle",32,"BIRC5, XPO1, CDC16, NUP85, ANAPC2, AURKB, ITGB3BP, SPC24, RANGAP1, CDCA8, CENPI, ANAPC5, SPDL1, NDC80, PSMD12, CDC20, INCENP, PSMD10, PSMA6, PSMC1, SMC3, PSMD7, PSMB4, PSMB7, CDC23, SF3A2, MAD2L1, PLK1, PSMA4, PSMD14, RPS27, NKAP",3,"XPO1, RANGAP1, NUP85",1,"RPS27",0,NA,4
"19",8896,"BUD31",23,"HighConf","Novel","Spliceosome",13,"CDC5L, PRPF8, SNRPA1, SF3A2, SNRPD3, SNW1, SNRPG, SF3B5, PHF5A, SDE2, RNF113A, NAA50, PRPF19",0,NA,0,NA,0,NA,0
"20",51719,"CAB39",278,"MedConf","Novel",NA,1,"PRKACA",0,NA,0,NA,0,NA,0
"21",790,"CAD",3,"MedConf","Novel","Pyrimidine metabolism",11,"TUFM, RUVBL1, RAD23B, ALDH18A1, USP34, ZFAND4, CARNS1, ERH, USP9Y, SEPSECS, DHODH",0,NA,0,NA,1,"RAD23B",1
"22",816,"CAMK2B",265,"MedConf","Novel","Oocyte meiosis",4,"IFNG, IFNGR1, RAC1, MAP2K3",0,NA,0,NA,0,NA,0
"23",57571,"CARNS1",335,"MedConf","Novel",NA,1,"CAD",0,NA,0,NA,0,NA,0
"24",23624,"CBLC",344,"MedConf","Novel","Ubiquitin mediated proteolysis",3,"IFNGR1, PDGFRA, PIK3CA",0,NA,0,NA,0,NA,0
"25",890,"CCNA2",87,"MedConf","Novel","Cell cycle, Progesterone-mediated oocyte maturation",4,"CKS1B, CDC20, RBL2, PCNA",0,NA,0,NA,1,"PCNA",1
"26",896,"CCND3",82,"HighConf","Novel","Cell cycle",10,"MED1, MED17, PIK3CA, TRIM28, MED14, RBL2, MED9, MED11, CDK12, PCNA",0,NA,0,NA,1,"PCNA",1
"27",8881,"CDC16",206,"HighConf","Novel","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation",18,"ANAPC2, AURKB, ANAPC5, MAD2L1, PSMA4, PSMB7, PTTG1, PSMD14, PSMD10, CDC23, PSMC1, PSMA6, PLK1, PSMD12, PSMB4, BUB3, CDC20, PSMD7",0,NA,0,NA,0,NA,0
"28",991,"CDC20",128,"HighConf","Novel","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis",33,"INCENP, NDC80, PLK1, SMC3, BUB3, BIRC5, XPO1, PTTG1, CDC16, NUP85, ANAPC2, AURKB, ITGB3BP, SPC24, RANGAP1, CDCA8, CENPI, ANAPC5, SPDL1, MAD2L1, PSMA6, PSMD7, PSMB4, PSMD12, TCP1, PSMB7, CDC23, CCNA2, PSMA4, PSMD14, PSMC1, RPS27, PSMD10",3,"XPO1, RANGAP1, NUP85",1,"RPS27",0,NA,4
"29",8697,"CDC23",4,"MedConf","Novel","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation",18,"PSMC1, PSMA6, PSMD12, PSMD7, PSMD14, PSMB7, PSMB4, PSMA4, PSMD10, MAD2L1, CDC20, PLK1, BUB3, PTTG1, CDC16, ANAPC2, AURKB, ANAPC5",0,NA,0,NA,0,NA,0
"30",8318,"CDC45",141,"HighConf","Novel","Cell cycle",7,"RPA3, POLE2, PRIM1, MCM7, RPA1, PCNA, GINS3",0,NA,0,NA,4,"RPA3, RPA1, POLE2, PCNA",4
"31",988,"CDC5L",66,"MedConf","Novel","Spliceosome",20,"PRPF8, SNRPA1, RPL13, SNRPF, SF3A2, SNRPD3, SNRPD1, SNW1, SNRPG, SF3B1, DHX15, SRSF1, U2AF2, EIF4A3, RNF113A, NAA50, SFPQ, PRPF19, HSPA8, BUD31",1,"EIF4A3",1,"RPL13",0,NA,2
"32",55143,"CDCA8",270,"HighConf","Novel",NA,18,"CENPI, SPDL1, RANGAP1, RPS27, BUB3, SPC24, MAD2L1, ITGB3BP, NUP85, INCENP, CDC20, BIRC5, XPO1, AURKB, NDC80, SMC3, PLK1, KIF23",3,"XPO1, RANGAP1, NUP85",1,"RPS27",0,NA,4
"33",51755,"CDK12",354,"MedConf","Novel",NA,1,"CCND3",0,NA,0,NA,0,NA,0
"34",10153,"CEBPZ",185,"MedConf","Novel",NA,4,"BRIX1, NIP7, FBL, PES1",0,NA,0,NA,0,NA,0
"35",2491,"CENPI",271,"MedConf","Novel",NA,19,"SPDL1, RANGAP1, SPC24, NPM1, RPS27, BUB3, AURKB, PLK1, XPO1, ITGB3BP, SMC3, CDCA8, NDC80, RUVBL1, MAD2L1, INCENP, NUP85, CDC20, BIRC5",3,"XPO1, RANGAP1, NUP85",1,"RPS27",0,NA,4
"36",55835,"CENPJ",239,"MedConf","Novel",NA,9,"RAB8A, DYNLL1, TUBGCP3, YWHAG, TUBG1, TUBGCP4, PRKACA, SASS6, PLK1",0,NA,0,NA,0,NA,0
"37",8208,"CHAF1B",280,"MedConf","Novel",NA,1,"PCNA",0,NA,0,NA,1,"PCNA",1
"38",9391,"CIAO1",213,"MedConf","Novel",NA,3,"ERCC2, FAM96B, NUBP2",0,NA,0,NA,1,"ERCC2",1
"39",1163,"CKS1B",91,"MedConf","Novel",NA,3,"UBE2M, ALDH18A1, CCNA2",0,NA,0,NA,0,NA,0
"40",27297,"CRCP",228,"HighConf","Novel",NA,7,"POLE2, POLD3, POLR3H, REV3L, POLR3A, POLE3, POLR3K",0,NA,0,NA,3,"POLE3, POLE2, POLD3",3
"41",1413,"CRYBA4",267,"MedConf","Novel",NA,5,"RLN1, HSPA8, RPA1, RPA3, DNAJB1",0,NA,0,NA,2,"RPA3, RPA1",2
"42",1434,"CSE1L",343,"MedConf","Novel",NA,1,"UBE2A",0,NA,0,NA,0,NA,0
"43",1445,"CSK",288,"MedConf","Novel",NA,3,"PIK3CA, HLA-DRB1, ACTN4",0,NA,0,NA,0,NA,0
"44",1479,"CSTF3",67,"MedConf","Novel","mRNA surveillance pathway",30,"PRPF8, SNRPA1, SNRPF, SF3A2, SNRPD3, TXNL4A, PRPF4, SNRPD1, SNRPG, SF3B1, SNRNP70, NCBP1, SYMPK, SF3B5, POLR2L, POLR3A, POLR2D, POLR2I, HNRNPA3, HNRNPK, SRSF2, SRSF7, YBX1, PHF5A, SRSF1, SRSF3, U2AF2, NUDT21, YTHDC1, PCF11",1,"NCBP1",0,NA,0,NA,1
"45",9150,"CTDP1",150,"HighConf","Novel",NA,10,"POLR3A, POLR2D, POLR2I, ERCC2, PLK1, POLR2L, MED14, MED1, NCBP1, MED17",1,"NCBP1",0,NA,1,"ERCC2",2
"46",25879,"DCAF13",162,"MedConf","Novel",NA,8,"HEATR1, NOP58, DMP1, FBL, UTP15, PWP2, DDB1, NOC4L",0,NA,0,NA,1,"DDB1",1
"47",28960,"DCPS",366,"MedConf","Novel","RNA degradation",3,"EXOSC3, EXOSC7, EXOSC6",0,NA,0,NA,0,NA,0
"48",1642,"DDB1",133,"MedConf","Nucleotide excision repair","Nucleotide excision repair, Ubiquitin mediated proteolysis",9,"DCAF13, SAP30BP, RPA3, ERCC5, ERCC2, RAD23B, SF3B1, SLX4, RPA1",0,NA,0,NA,5,"RPA3, RPA1, RAD23B, ERCC5, ERCC2",5
"49",84301,"DDI2",357,"MedConf","Novel",NA,1,"RAD23B",0,NA,0,NA,1,"RAD23B",1
"50",55308,"DDX19A",316,"HighConf","Novel",NA,2,"DRAP1, XPO1",1,"XPO1",0,NA,0,NA,1
"51",64798,"DEPTOR",244,"MedConf","Novel",NA,3,"MLST8, YWHAH, YWHAG",0,NA,0,NA,0,NA,0
"52",1723,"DHODH",360,"MedConf","Novel","Pyrimidine metabolism",1,"CAD",0,NA,0,NA,0,NA,0
"53",1665,"DHX15",132,"MedConf","Novel","Spliceosome",6,"NKAP, CDC5L, SNW1, FBL, SF3A2, PRPF19",0,NA,0,NA,0,NA,0
"54",27292,"DIMT1",308,"HighConf","Novel",NA,3,"NOC4L, PWP2, UTP15",0,NA,0,NA,0,NA,0
"55",1758,"DMP1",292,"MedConf","Novel",NA,5,"FBL, UTP15, WDR43, DCAF13, HEATR1",0,NA,0,NA,0,NA,0
"56",3337,"DNAJB1",266,"MedConf","Novel",NA,5,"CRYBA4, RLN1, RPA3, RPA1, HSPA8",0,NA,0,NA,2,"RPA3, RPA1",2
"57",1785,"DNM2",333,"MedConf","Novel",NA,2,"HSPA8, HLA-DRB1",0,NA,0,NA,0,NA,0
"58",10589,"DRAP1",218,"MedConf","Novel",NA,2,"DDX19A, POLE3",0,NA,0,NA,1,"POLE3",1
"59",1841,"DTYMK",382,"HighConf","Novel","Pyrimidine metabolism",1,"DUT",0,NA,0,NA,0,NA,0
"60",1854,"DUT",276,"MedConf","Novel","Pyrimidine metabolism",2,"DTYMK, APEX2",0,NA,0,NA,0,NA,0
"61",8655,"DYNLL1",346,"MedConf","Novel",NA,9,"TUBGCP3, TUBG1, RAB8A, PRKACA, PLK1, HLA-DRB1, TUBGCP4, YWHAG, CENPJ",0,NA,0,NA,0,NA,0
"62",1859,"DYRK1A",355,"MedConf","Novel",NA,1,"RBL2",0,NA,0,NA,0,NA,0
"63",11319,"ECD",356,"MedConf","Novel",NA,1,"PRPF8",0,NA,0,NA,0,NA,0
"64",10209,"EIF1",124,"MedConf","RNA transport","RNA transport",14,"EIF2S3, EIF1AX, EIF4G1, EIF3D, RPS29, RPS23, RPS15A, RPS24, RPS14, RPS28, RPS11, RPS16, RPS19, EIF3A",5,"EIF4G1, EIF3D, EIF3A, EIF2S3, EIF1AX",9,"RPS29, RPS28, RPS24, RPS23, RPS19, RPS16, RPS15A, RPS14, RPS11",0,NA,14
"65",1964,"EIF1AX",157,"MedConf","RNA transport","RNA transport",45,"EIF4G1, EIF3D, RPL24, RPL9, RPL11, RPS3A, RPL37A, RPS29, RPS11, RPL32, RPS4X, RPL13, RPL37, RPL17, RPL6, RPL21, EIF3K, RPL18A, RPS26, RPL19, EIF2S3, RPS23, RPS14, RPL3, RPS28, RPL8, EIF1, RPL30, RPLP2, RPS5, RPL34, RPS19, RPS24, RPLP1, RPL23A, RPS27, EIF3A, RPLP0, RPL36, RPS15A, RPL15, RPL29, RPL14, RPL13A, RPS16",5,"EIF4G1, EIF3D, EIF3A, EIF2S3, EIF1",39,"RPS5, RPS4X, RPS3A, RPS29, RPS28, RPS27, RPS26, RPS24, RPS23, RPS19, RPS16, RPS15A, RPS14, RPS11, RPLP2, RPLP1, RPLP0, RPL9, RPL8, RPL6, RPL37A, RPL37, RPL36, RPL34, RPL32, RPL30, RPL3, RPL29, RPL24, RPL23A, RPL21, RPL19, RPL18A, RPL17, RPL15, RPL14, RPL13A, RPL13, RPL11",0,NA,44
"66",8892,"EIF2B2",156,"MedConf","RNA transport","RNA transport",2,"EIF2B4, EIF2S3",2,"EIF2S3, EIF2B4",0,NA,0,NA,2
"67",8890,"EIF2B4",287,"MedConf","RNA transport","RNA transport",2,"EIF2S3, EIF2B2",2,"EIF2S3, EIF2B2",0,NA,0,NA,2
"68",1968,"EIF2S3",125,"MedConf","RNA transport","RNA transport",47,"EIF2B2, EIF1AX, EIF4G1, EIF2B4, EIF3D, RPL29, RPLP1, RPS5, EIF3K, RPL11, RPL9, RPS3A, RPS24, RPL24, RPL34, RPS29, RPL32, RPS4X, RPL30, RPL37, RPS15A, RPS19, RPS14, EIF3A, RPS26, RPL23A, RPL14, RPL17, RPL13A, RPL19, EIF1, RPL21, RPL13, RPL6, RPLP2, RPS27, RPL36, RPS16, RPLP0, RPL15, RPS11, RPL37A, RPL18A, RPL8, RPS23, RPL3, RPS28",7,"EIF4G1, EIF3D, EIF3A, EIF2B4, EIF2B2, EIF1AX, EIF1",39,"RPS5, RPS4X, RPS3A, RPS29, RPS28, RPS27, RPS26, RPS24, RPS23, RPS19, RPS16, RPS15A, RPS14, RPS11, RPLP2, RPLP1, RPLP0, RPL9, RPL8, RPL6, RPL37A, RPL37, RPL36, RPL34, RPL32, RPL30, RPL3, RPL29, RPL24, RPL23A, RPL21, RPL19, RPL18A, RPL17, RPL15, RPL14, RPL13A, RPL13, RPL11",0,NA,46
"69",8661,"EIF3A",115,"MedConf","RNA transport","RNA transport",46,"EIF3K, EIF1, EIF2S3, EIF1AX, EIF4G1, EIF3D, RPLP2, RPL29, RPLP0, RPS29, RPS5, RPS4X, RPL21, RPL30, RPL3, RPS23, RPL19, RPL6, RPS19, RPS28, RPL13A, RPL23A, RPS14, RPL18A, RPL32, RPL9, PWP2, RPLP1, RPS27, RPL11, RPL36, RPS11, RPS24, RPL17, RPL37A, RPL37, RPL13, RPS26, RPL15, RPS16, RPL14, RPL8, RPL34, RPS15A, RPL24, RPS3A",5,"EIF4G1, EIF3D, EIF2S3, EIF1AX, EIF1",39,"RPS5, RPS4X, RPS3A, RPS29, RPS28, RPS27, RPS26, RPS24, RPS23, RPS19, RPS16, RPS15A, RPS14, RPS11, RPLP2, RPLP1, RPLP0, RPL9, RPL8, RPL6, RPL37A, RPL37, RPL36, RPL34, RPL32, RPL30, RPL3, RPL29, RPL24, RPL23A, RPL21, RPL19, RPL18A, RPL17, RPL15, RPL14, RPL13A, RPL13, RPL11",0,NA,44
"70",8664,"EIF3D",290,"MedConf","RNA transport","RNA transport",45,"RPL34, RPL3, RPL24, RPS26, RPS29, EIF3K, RPL14, RPL19, RPL18A, RPS28, RPS11, RPS23, RPL13, RPS5, RPL21, RPL13A, EIF3A, RPL37, RPL36, RPL9, EIF1, RPLP1, RPS14, RPS3A, RPS16, RPL30, RPL17, RPS4X, RPL29, EIF1AX, RPS24, RPL37A, RPLP2, RPS19, RPLP0, RPL8, RPL11, RPS27, RPL23A, EIF2S3, RPL6, RPS15A, EIF4G1, RPL15, RPL32",5,"EIF4G1, EIF3A, EIF2S3, EIF1AX, EIF1",39,"RPS5, RPS4X, RPS3A, RPS29, RPS28, RPS27, RPS26, RPS24, RPS23, RPS19, RPS16, RPS15A, RPS14, RPS11, RPLP2, RPLP1, RPLP0, RPL9, RPL8, RPL6, RPL37A, RPL37, RPL36, RPL34, RPL32, RPL30, RPL3, RPL29, RPL24, RPL23A, RPL21, RPL19, RPL18A, RPL17, RPL15, RPL14, RPL13A, RPL13, RPL11",0,NA,44
"71",27335,"EIF3K",123,"MedConf","Novel",NA,44,"EIF2S3, EIF1AX, EIF4G1, EIF3D, RPS28, RPS3A, RPL8, RPS26, RPLP2, RPL3, RPS16, RPL36, RPL14, RPL34, RPL9, RPL6, RPS15A, RPL29, RPS24, RPS4X, RPL24, RPS11, RPL23A, RPL18A, RPL17, RPL11, RPS27, RPL13, RPL37A, RPLP1, RPS23, RPL19, RPL32, RPLP0, RPL30, RPL13A, EIF3A, RPL37, RPS5, RPS19, RPS29, RPL21, RPS14, RPL15",5,"EIF4G1, EIF3D, EIF3A, EIF2S3, EIF1AX",39,"RPS5, RPS4X, RPS3A, RPS29, RPS28, RPS27, RPS26, RPS24, RPS23, RPS19, RPS16, RPS15A, RPS14, RPS11, RPLP2, RPLP1, RPLP0, RPL9, RPL8, RPL6, RPL37A, RPL37, RPL36, RPL34, RPL32, RPL30, RPL3, RPL29, RPL24, RPL23A, RPL21, RPL19, RPL18A, RPL17, RPL15, RPL14, RPL13A, RPL13, RPL11",0,NA,44
"72",9775,"EIF4A3",240,"MedConf","RNA transport","RNA transport, Spliceosome, mRNA surveillance pathway",48,"UPF1, RPL13A, RPS14, RPL15, RPL37A, RPS11, RPS15A, SRSF10, RPS28, CDC5L, RPL29, TCEA2, RPL34, RPL19, RPL21, RPS16, RPL37, RPLP1, RPS3A, RPL3, SRSF7, RPS27, RPL36, RPL23A, RPL9, RPL24, RPLP2, RPS19, RPL30, RPS24, RPS4X, RPL11, RPL32, RPS26, RPLP0, RPL14, RPS29, RPL6, SRSF1, RPL17, NCBP1, EIF4G1, RPS5, RPL18A, RPL8, SRSF3, RPS23, RPL13",3,"UPF1, NCBP1, EIF4G1",39,"RPS5, RPS4X, RPS3A, RPS29, RPS28, RPS27, RPS26, RPS24, RPS23, RPS19, RPS16, RPS15A, RPS14, RPS11, RPLP2, RPLP1, RPLP0, RPL9, RPL8, RPL6, RPL37A, RPL37, RPL36, RPL34, RPL32, RPL30, RPL3, RPL29, RPL24, RPL23A, RPL21, RPL19, RPL18A, RPL17, RPL15, RPL14, RPL13A, RPL13, RPL11",0,NA,42
"73",1981,"EIF4G1",163,"MedConf","RNA transport","RNA transport",59,"EIF4A3, EIF3D, UPF1, RPL13A, RPLP2, NCBP1, RPL32, RPL18A, RPL14, RPL9, PSMA4, PSMD10, HSPA8, RPS28, RPL37, RPL13, RPL11, RPS27, RPL15, RPL8, RPL3, RPL6, RPL37A, EIF3A, EIF2S3, PSMD14, RPS23, RPL36, RPLP1, RPL17, RPS16, PSMC1, RPS26, RPS15A, PSMD12, RPL24, RPS5, PSMD7, RPL19, RPS24, RPS3A, EIF1, RPS29, RPL21, RPS19, RPL30, RPS4X, RPL34, PSMB4, PSMA6, RPS14, RPS11, PSMB7, RPL29, RPL23A, EIF1AX, RPLP0, EIF3K, SCAF4",8,"UPF1, NCBP1, EIF4A3, EIF3D, EIF3A, EIF2S3, EIF1AX, EIF1",39,"RPS5, RPS4X, RPS3A, RPS29, RPS28, RPS27, RPS26, RPS24, RPS23, RPS19, RPS16, RPS15A, RPS14, RPS11, RPLP2, RPLP1, RPLP0, RPL9, RPL8, RPL6, RPL37A, RPL37, RPL36, RPL34, RPL32, RPL30, RPL3, RPL29, RPL24, RPL23A, RPL21, RPL19, RPL18A, RPL17, RPL15, RPL14, RPL13A, RPL13, RPL11",0,NA,47
"74",3692,"EIF6",50,"HighConf","Novel","Ribosome biogenesis in eukaryotes",22,"RPL6, RPL17, FBL, RPL37A, RPL36, RPL13, RPL37, RPL3, RPL34, NOP58, PES1, NIP7, RSL24D1, RPS15A, RPL14, RPL9, RPL30, RPS5, RPS24, RPS4X, RPL23A, RPL18A",0,NA,18,"RSL24D1, RPS5, RPS4X, RPS24, RPS15A, RPL9, RPL6, RPL37A, RPL37, RPL36, RPL34, RPL30, RPL3, RPL23A, RPL18A, RPL17, RPL14, RPL13",0,NA,18
"75",2023,"ENO1",307,"HighConf","Novel","RNA degradation, Carbon metabolism, Biosynthesis of amino acids, Glycolysis / Gluconeogenesis",1,"GAPDH",0,NA,0,NA,0,NA,0
"76",2027,"ENO3",277,"HighConf","Novel","RNA degradation, Carbon metabolism, Biosynthesis of amino acids, Glycolysis / Gluconeogenesis",4,"TKTL2, GPI, PGAM1, ALDOA",0,NA,0,NA,0,NA,0
"77",1969,"EPHA2",155,"MedConf","Novel",NA,2,"RAC1, PIK3CA",0,NA,0,NA,0,NA,0
